,Unnamed: 0,출발지 행정동,출발지 구주소
0,77, 다사읍,대구 달성군 다사읍
1,79, 본동,서울 동작구 본동
2,80, 감삼동,대구 달서구 감삼동
3,81, 신당동,서울 중구 신당동
4,82, 이곡동 ,대구 달서구 이곡동
5,83, 지산동 ,경기 평택시 지산동
6,84, 장전4길 ,오류
7,85, 파동 ,대구 수성구 파동
8,87, 중리동,경기 안성시 중리동
9,88, 봉덕동,대구 남구 봉덕동
10,89, 범물동,대구 수성구 범물동
11,90, 가창면 냉천리,대구 달성군 가창면 냉천리
12,91, 신천동,서울 송파구 신천동
13,92, 옥포읍 ,대구 달성군 옥포읍
14,94, 칠성동2가,대구 북구 칠성동2가
15,95, 신천동 ,서울 송파구 신천동
16,98, 효목동,대구 동구 효목동
17,99, 대명5동,대구 남구 대명5동
18,100, 성당동 ,대구 달서구 성당동
19,101, 달성동,대구 중구 달성동
20,104, 가천동,대구 수성구 가천동
21,105, 지산1동,광주 동구 지산1동
22,106, 신매동 ,대구 수성구 신매동
23,107, 본리동 ,대구 달서구 본리동
24,108, 서변동 ,대구 북구 서변동
25,109, 진천동,대구 달서구 진천동
26,110, 동천동,경기 용인시 수지구 동천동
27,111, 구암동,대전 유성구 구암동
28,117, 신암동,대구 동구 신암동
29,118, 괴전동,대구 동구 괴전동
30,119, 수창동,대구 중구 수창동
31,121, 불로동,인천 서구 불로동
32,122, 지저동,대구 동구 지저동
33,123, 침산동,대전 중구 침산동
34,124, 시지동 ,대구 수성구 시지동
35,125, 대신동,서울 서대문구 대신동
36,126, 대명동(대명3동),전북 군산시 대명동
37,129, 봉덕1동,대구 남구 봉덕1동
38,130, 만촌동,대구 수성구 만촌동
39,133, 도원동 ,서울 용산구 도원동
40,135, 두류동,대구 달서구 두류동
41,136, 월성동,전북 김제시 월성동
42,137, 산격동(산격4동),대구 북구 산격동
43,138, 대명동,전북 군산시 대명동
44,139, ,오류
45,140, 비산동(비산1동),경기 안양시 동안구 비산동
46,141, 파동,대구 수성구 파동
47,143, 대명동 ,전북 군산시 대명동
48,146, 다사읍 ,대구 달성군 다사읍
49,148, 호산동,대구 달서구 호산동
50,152, 신기동,충남 공주시 신기동
51,156, 구암동 ,대전 유성구 구암동
52,158, 동천동 ,경기 용인시 수지구 동천동
53,159, 성당동,대구 달서구 성당동
54,160, 비산동,경기 안양시 동안구 비산동
55,163, 송현동 ,서울 종로구 송현동
56,168, 수성동4가 ,대구 수성구 수성동4가
57,170, 신암동(신암1동),대구 동구 신암동
58,171, 노원동2가,대구 북구 노원동2가
59,172, 장기동,경기 김포시 장기동
60,174, 향촌동,경남 사천시 향촌동
61,175, 파호동 ,대구 달서구 파호동
62,177, 용산동,서울 용산구 용산2가동
63,181, 진천동 ,대구 달서구 진천동
64,183, 송현동,서울 종로구 송현동
65,186, 동산동,경기 고양시 덕양구 동산동
66,187, 남산동 ,서울 중구 남산동1가
67,189, 본동 ,서울 동작구 본동
68,192, 본리동,대구 달서구 본리동
69,194, 현풍읍 중리,대구 달성군 현풍읍 중리
70,195, 월성동 ,전북 김제시 월성동
71,196, 상인동,대구 달서구 상인동
72,203, 대명서2길 ,오류
73,205, 내당동,대구 서구 내당동
74,212, 계산동2가,대구 중구 계산동2가
75,214, 신암2동,대구 동구 신암2동
76,216, 복현동(복현2동),대구 북구 복현동
77,217, 신암동 ,대구 동구 신암동
78,219, 복현동,대구 북구 복현동
79,224, 방촌로3길 ,오류
80,225, 침산동 ,대전 중구 침산동
81,226, 방촌동,대구 동구 방촌동
82,227, 상인동 ,대구 달서구 상인동
83,228, 지묘동,대구 동구 지묘동
84,229, 효목동 ,대구 동구 효목동
85,231, 이곡동,대구 달서구 이곡동
86,233, 남산동(남산1동),서울 중구 남산동1가
87,234, 봉덕동 ,대구 남구 봉덕동
88,237, 삼덕동2가,대구 중구 삼덕동2가
89,243, 신서동 ,대구 동구 신서동
90,246, 대현동,서울 서대문구 대현동
91,248, 수성동1가,대구 수성구 수성동1가
92,250, 범어동,경북 영천시 범어동
93,259, 산격동,대구 북구 산격동
94,261, 만촌동 ,대구 수성구 만촌동
95,262, 범어동 ,경북 영천시 범어동
96,263, 용계동,대전 동구 용계동
97,267, 두산동,강원특별자치도 강릉시 두산동
98,273, 남산동,서울 중구 남산동1가
99,276, 범물동(범물2동),대구 수성구 범물동
100,278, 율하동 ,경남 김해시 율하동
101,282, 지산동,경기 평택시 지산동
102,293, 삼덕동2가 ,대구 중구 삼덕동2가
103,294, 내당2.3동,대구 서구 내당동
104,302, 비산동(비산2.3동),경기 안양시 동안구 비산동
105,304, 평리동(평리1동),경기 수원시 권선구 평리동
106,305, 대천동 ,경기 안성시 대천동
107,307, 평리동,경기 수원시 권선구 평리동
108,308, 평리동(평리4동),경기 수원시 권선구 평리동
109,309, 용산동 ,서울 용산구 용산2가동
110,312, 죽전동,경기 용인시 수지구 죽전동
111,314, 북비산로61길 ,오류
112,317, 서대구로40길 ,오류
113,320, 내당동 ,대구 서구 내당동
114,322, 봉무동,대구 동구 봉무동
115,323, 황금동,전남 광양시 황금동
116,324, 학정동,대구 북구 학정동
117,331, 검단동 ,인천 서구 검단동
118,335, 월성2동,대구 달서구 월성2동
119,338, 두류동 ,대구 달서구 두류동
120,348, 신당동 ,서울 중구 신당동
121,349, 무학로21안길 ,오류
122,354, 신매동,대구 수성구 신매동
123,359, 호산동 ,대구 달서구 호산동
124,361, 대신동 ,서울 서대문구 대신동
125,363, 화원읍,대구 달성군 화원읍
126,364, 노변공원로3길,오류
127,369, 대경6길 ,오류
128,370, 이천동,경북 안동시 이천동
129,377, 상동,경기 부천시 원미구 상동
130,378, 수성동3가 ,대구 수성구 수성동3가
131,379, 옥포면,대구 달성군 옥포읍
132,381, 각산동,대구 동구 각산동
133,382, 만촌2동,대구 수성구 만촌2동
134,387, 율하동,경남 김해시 율하동
135,388, 송정동,서울 성동구 송정동
136,394, 효목동(효목2동),대구 동구 효목동
137,395, 도원동,서울 용산구 도원동
138,396, 대명동(대명2동),전북 군산시 대명동
139,397, 덕산동,경북 포항시 북구 덕산동
140,407, 당산로 ,오류
141,408, 대곡동,인천 서구 대곡동
142,410, 논공읍,대구 달성군 논공읍
143,418, 대명9동,대구 남구 대명9동
144,427, 연경동,대구 북구 연경동
145,428, 비산7동,대구 서구 비산7동
146,429, 범물동 ,대구 수성구 범물동
147,437, 범물1동,대구 수성구 범물1동
148,441, 효목2동,대구 동구 효목2동
149,458, 황금동 ,전남 광양시 황금동
150,470, 봉무동 ,대구 동구 봉무동
151,473, 산격1동,대구 북구 산격1동
152,475, 칠성동,대구 북구 칠성동
153,478, 대명천로11길 ,오류
154,490, 종로2가,서울 종로구 종로2가
155,493, 국우동 ,대구 북구 국우동
156,495, 칠성동1가,대구 북구 칠성동1가
157,506, 파호동,대구 달서구 파호동
158,508, 대명4동,대구 남구 대명4동
159,512, 봉덕동(봉덕3동),대구 남구 봉덕동
160,515, 동인동2가 ,대구 중구 동인동2가
161,516, 동인1.2.4가동,대구 중구 동인동1가
162,518, 대경길 ,오류
163,520, 대명1동 ,대구 남구 대명1동
164,527, 대명11동,대구 남구 대명11동
165,528, 논공읍 ,대구 달성군 논공읍
166,530, 신서동,대구 동구 신서동
167,534, 하빈면,대구 달성군 하빈면
168,536, 파동로 ,오류
169,539, 동성로2가 ,대구 중구 동성로2가
170,548, 성내2동,서울 강동구 성내2동
171,561, 복현동 ,대구 북구 복현동
172,569, 상매동,대구 동구 상매동
173,570, 신기동 ,충남 공주시 신기동
174,575, 서호동 ,경남 통영시 서호동
175,576, 범물2동,대구 수성구 범물2동
176,579, 읍내동 ,충남 당진시 읍내동
177,584, 태전동,경기 광주시 태전동
178,591, 국우동,대구 북구 국우동
179,592, 매호동,대구 수성구 매호동
180,593, 범어3동,대구 수성구 범어3동
181,614, 상인1동,대구 달서구 상인1동
182,617, 대명동(대명9동),전북 군산시 대명동
183,618, 대안동,전남 목포시 대안동
184,621, 지저동 ,대구 동구 지저동
185,651, 사일동,대구 중구 사일동
186,652, 매천동,대구 북구 매천동
187,657, 대명3동,대구 남구 대명3동
188,669, 남산동(남산2동),서울 중구 남산동1가
189,677, 검사동,대구 동구 검사동
190,690, 신암3동,대구 동구 신암3동
191,705, 비산동(비산5동),경기 안양시 동안구 비산동
192,714, 평리동 ,경기 수원시 권선구 평리동
193,715, 수성동3가,대구 수성구 수성동3가
194,716, 송현1동,인천 동구 송현1.2동
195,738, 동산동 ,경기 고양시 덕양구 동산동
196,739, 동호동,강원특별자치도 동해시 동호동
197,744, 내당동(내당1동),대구 서구 내당동
198,745, 연암로 ,오류
199,751, 동인동3가 ,대구 중구 동인동3가
200,766, 대명5동 ,대구 남구 대명5동
201,770, 계산동2가 ,대구 중구 계산동2가
202,772, 화원읍 구라리,대구 달성군 화원읍 구라리
203,780, 대명4동 ,대구 남구 대명4동
204,783, 포정동,대구 중구 포정동
205,788, 대명서로 ,오류
206,792, 비산동(비산7동),경기 안양시 동안구 비산동
207,794, 매천동 ,대구 북구 매천동
208,795, 산격동 ,대구 북구 산격동
209,809, 칠곡3동,오류
210,810, 사수동,대구 북구 사수동
211,817, 태전동 ,경기 광주시 태전동
212,818, 읍내동,충남 당진시 읍내동
213,827, 유가읍 ,대구 달성군 유가읍
214,833, 송현2동,인천 동구 송현1.2동
215,843, 수동,경기 남양주시 수동면
216,852, 두류3동,대구 달서구 두류3동
217,853, 야외음악당로41안길 ,오류
218,859, 서문로1가,대구 중구 서문로1가
219,860, 가창면 행정리,대구 달성군 가창면 행정리
220,869, 두산동 ,강원특별자치도 강릉시 두산동
221,875, 상동 ,경기 부천시 원미구 상동
222,879, 화원읍 ,대구 달성군 화원읍
223,881, 학정동 ,대구 북구 학정동
224,891, 관음동,대구 북구 관음동
225,893, 현풍읍 원교리,대구 달성군 현풍읍 원교리
226,903, 입석동,전북 김제시 입석동
227,914, 남산4동,대구 중구 남산4동
228,915, 수성동4가,대구 수성구 수성동4가
229,918, 노원동3가,대구 북구 노원동3가
230,920, 호림동,대구 달서구 호림동
231,927, 만촌동(만촌2동),대구 수성구 만촌동
232,929, 동인동1가,대구 중구 동인동1가
233,935, 장관동,대구 중구 장관동
234,949, 수성2.3가동,대구 수성구 수성2.3가동
235,952, 달서로 ,오류
236,955, 공평동 ,서울 종로구 공평동
237,958, 현충로18길 ,오류
238,960, 비산동 ,경기 안양시 동안구 비산동
239,964, 노원1.2동,오류
240,972, 칠성동1가 ,대구 북구 칠성동1가
241,978, 노원동3가 ,대구 북구 노원동3가
242,982, 효목로 ,오류
243,983, 상인3동,대구 달서구 상인3동
244,987, 대명9동 ,대구 남구 대명9동
245,999, 사월동,대구 수성구 사월동
246,1002, 노원동2가 ,대구 북구 노원동2가
247,1003, 칠성동2가 ,대구 북구 칠성동2가
248,1013, 앞산순환로79길 ,오류
249,1017, 논공읍 북리,대구 달성군 논공읍 북리
250,1021, 고성동,대구 북구 고성동
251,1023, 삼덕동3가 ,대구 중구 삼덕동3가
252,1033, 황금1동,대구 수성구 황금1동
253,1035, 장기동 ,경기 김포시 장기동
254,1041, 대현동 ,서울 서대문구 대현동
255,1047, 안심1동,대구 동구 안심1동
256,1052, 남산1동,대구 중구 남산1동
257,1053, 안심3.4동,오류
258,1058, 감삼남2길 ,오류
259,1062, 삼덕동,대구 수성구 삼덕동
260,1067, 대명10동,대구 남구 대명10동
261,1076, 감삼동 ,대구 달서구 감삼동
262,1078, 범어동(범어4동),경북 영천시 범어동
263,1104, 대봉동,대구 중구 대봉동
264,1105, 옥포읍,대구 달성군 옥포읍
265,1119, 성당1동,대구 달서구 성당동
266,1181, 중리동 ,경기 안성시 중리동
267,1182, 산격1동 ,대구 북구 산격1동
268,1184, 백안동,대구 동구 백안동
269,1206, 대봉1동,대구 중구 대봉1동
270,1207, 이천동 ,경북 안동시 이천동
271,1215, 동인동3가,대구 중구 동인동3가
272,1218, 중동,서울 마포구 중동
273,1219, 수성4가동,대구 수성구 수성4가동
274,1222, 성내1동,서울 강동구 성내1동
275,1235, 화랑로42길 ,오류
276,1249, 비산동(비산6동),경기 안양시 동안구 비산동
277,1250, 평리4동,대구 서구 평리4동
278,1252, 구지면 ,대구 달성군 구지면
279,1255, 대명동(대명4동),전북 군산시 대명동
280,1256, 신천1.2동,서울 송파구 신천동
281,1257, 범물동(범물1동),대구 수성구 범물동
282,1270, 다사읍 문양리,대구 달성군 다사읍 문양리
283,1272, 원대동1가,대구 서구 원대동1가
284,1277, 중동 ,서울 마포구 중동
285,1278, 유가읍 쌍계리,대구 달성군 유가읍 쌍계리
286,1279, 유가읍,대구 달성군 유가읍
287,1281, 가창면 우록리,대구 달성군 가창면 우록리
288,1284, 종로2가 ,서울 종로구 종로2가
289,1286, 비산2.3동,경기 안양시 동안구 비산동
290,1287, 남산2동,대구 중구 남산2동
291,1296, 대명10동 ,대구 남구 대명10동
292,1304, 현풍면,대구 달성군 현풍읍
293,1305, 유가면,대구 달성군 유가읍
294,1311, 대곡동 ,인천 서구 대곡동
295,1314, 다사읍 서재리,대구 달성군 다사읍 서재리
