,출발지 행정동
1820, 만촌1동
1822, 지묘동
1844, 공평동 
1846, 지저동 
1887, 서문로1가
1907, 수성4가동
1941, 태평로2가 
1951, 신암3동
1985, 대명동(대명11동)
2011, 매천동 
2054, 5번출구 
2082, 상리동
2092, 성동
2134, 유가읍 용리
2136, 구지면 응암리
2145, 대명2동 
2168, 비산동(비산7동)
2223, 비산7동
2232, 큰고개로 
2238, 용수동
2243, 대천동 
2244, 계산동2가 
2251, 태평로3가 
2256, 성당로 
2263, 큰장로25길 
2265, 평리1동
2298, 평리동(평리3동)
2299, 침산1동
2347, 동성로2가 
2351, 만촌동(만촌1동)
2364, 논공읍 북리
2371, 유가읍
2442, 월배로80길 
2453, 송현1동
2478, 구지면 평촌리
2488, 상동 
2499, 비산2.3동
2531, 고성동3가(고성동)
2558, 평리동(평리2동)
2563, 대명천로11길 
2573, 평리4동
2825, 구지면 
2835, 두산동 
2863, 화원읍 설화리
2878, 비산동(비산6동)
2884, 사복동 
4002, 문화로43길 
4005, 노원동3가 
4011, 원대동
4020, 욱수동 
4045, 월곡로26안길 
4073, 학정동로 
4078, 매호동(고산3동)
4106, 봉덕3동
4182, 유통단지로 
4183, 성서동로62길 
4201, 다사읍 매곡리
4202, 포정동 
4228, 남산동(남산1동)
4233, 동문동
4262, 비산4동
4269, 대봉2동
4296, 범물2동
4363, 비산6동 
4464, 상인동(상인1동)
4488, 동호동 
4490, 대봉동 
4492, 대명1동
4572, (본사) 
4611, 월드컵로 
4621, 삼덕동3가 
4623, 유가읍 양리
4640, 고성동3가
4646, 효목2동 
4650, 봉무동 
4681, 관음동 
4687, 들안로40길 
4706, 산격동(산격4동)
4725, 가창면 삼산리
4726, 대흥동 
4729, 금호동
4791, 남산3동
4801, 칠성동
4802, 침산3동
4861, 선원로23남길 
4876, 수창동 
4888, 서성로1가
4912, 화랑로 
4943, 원대동1가 
4945, 옥포면 반송리
4954, 대명1동 
4956, 조야동
4962, 용산동(용산2동)
4998, 북성로1가 
5057, 명덕로28길 
5059, 대명동(대명2동)
5123, 덕곡동 
5134, 용산1동
5138, 동대구로 
5158, 달성동 
5173, 평리동(평리6동)
5197, 침산동(침산3동)
5317, 대구동호dt점>.현풍 
5354, 송현동(송현2동)
5361, 장동 
5370, 동성로3가
5406, 갈산동 
5408, 남산동(남산2동)
5421, 월암동 
5455, 불로.봉무동
5458, 유가읍 유곡리
5462, 매호동 
5463, 내당4동
5577, 칠곡중앙대로114길 
5580, 옥포읍 본리리
5594, 신기동 
5632, 고성동2가
5652, 다사읍 부곡리
5707, 서야동
5731, 내당동(내당2.3동)
5750, 신암동(신암4동)
5777, 동촌동
5787, 복현1동
5811, 와룡로45길 
5915, 대명동(대명6동)
5918, 노변동 
6023, 대현2동
