,출발지 행정동
0,평리5동
1,신암4동
3,월성1동
4,화원읍
6,다사읍
7,대명3동
8,도원동
9,신암3동
10,남산3동
11,평리4동
12,진천동
14,성내1동
16,이곡2동
17,신암2동
20,지저동
21,태전2동
23,대명4동
24,태전1동
27,성당동
28,송현2동
29,대명9동
31,공산동
33,남산4동
38,동천동
41,상인3동
44,본동
46,대명6동
49,내당4동
50,노원동
53,장기동
55,대현동
57,지산2동
60,봉덕2동
62,칠성동
65,성내3동
66,봉덕3동
69,무태조야동
70,구지면
71,신암1동
72,신당동
73,본리동
75,유가읍
77,불로.봉무동
78,수성4가동
80,내당1동
81,두류1
83,가창면
85,복현2동
89,상인2동
91,효목2동
92,상중이동
98,파동
103,황금1동
107,삼덕동
109,동촌동
114,산격1동
115,범어1동
122,월성2동
125,상인1동
127,용산1동
132,범물1동
135,안심1동
138,비산6동
140,침산2동
158,고산1동
159,수성1가동
164,만촌1동
166,지산1동
173,안심2동
179,효목1동
183,안심3동
186,신천3동
194,침산1동
196,안심4동
205,침산3동
209,감삼동
224,두산동
225,이천동
230,산격3동
240,방촌동
242,남산2동
250,중동
254,구암동
264,국우동
275,대신동
281,내당2.3동
309,관음동
318,범어2동
321,현풍읍
327,관문동
335,산격2동
340,고산2동
351,신천4동
352,용산2동
364,대명2동
366,만촌2동
389,평리6동
393,동인동
398,검단동
404,해안동
412,신천1.2동
414,하빈면
416,도평동
444,만촌3동
445,비산7동
470,대명1동
471,옥포읍
500,대명11동
510,산격4동
519,혁신동
532,논공읍
534,죽전동
538,황금2동
549,남산1동
551,평리2동
559,상동
591,비산2.3동
613,수성2.3가동
627,범물2동
631,봉덕1동
632,비산5동
643,비산4동
645,신암5동
648,읍내동
668,범어4동
676,송현1동
689,성내2동
760,범어3동
762,고산3동
806,원대동
834,대명5동
883,평리3동
1002,비산1동
1004,대봉2동
1121,이곡1동
1156,대명10동
1186,고성동
1225,두류3동
1338,복현1동
1618,대봉1동
1747,평리1동
1954,유천동
5408,지슬리
7307,서부2동
8336,송곡리
32129,서부1동
32258,낙산리
77655,팔조리
92477,호촌리
96100,목단리
98639,금호리
110547,청천리
151182,음양리
170496,이방리
281438,기성리
302444,곽촌리
315809,금구리
329172,화산리
355827,송정리
391101,금천리
391665,대견리
437548,오산리
438427,신덕리
489638,범서읍
522185,북부동
556716,연호리
709082,산전리
719742,대석리
734411,대산리
754046,청운리
832245,치일리
846605,학암리
847104,동부리
847545,명산리
848022,화본리
848376,서부리
851595,가호리
852450,송원리
857706,화계리
863992,이지리
863994,사리리
865168,달산리
865338,고곡리
865380,성리
865792,남산리
865969,학성리
866262,마시리
866353,병수리
867479,이화리
867499,용대리
867880,내의리
868250,화전리
868516,화북리
869027,봉림리
869765,노행리
870025,대율리
870031,금매리
870179,거매리
870730,위성리
872441,춘산리
872982,내량리
874088,내리리
876154,동산리
876835,정리
877177,수북리
888079,도산리
888431,창평리
889227,대천리
893571,상곡리
894415,삽령리
901502,오곡리
910327,읍내리
914378,광현리
923260,화수리
923766,구덕리
926281,효자4동
935397,미성리
939272,금양리
955302,모흥리
955521,나호리
957149,원산리
959599,대북리
968748,선소리
970599,불로리
971505,봉황리
972055,거남리
972339,백학리
976835,관창리
985134,무성리
986137,삼국유사면
986990,의흥면
987146,효령면
987702,부계면
988010,군위읍
988552,산성면
990938,소보면
994854,유등리
1003249,우보면
1016733,대곡리
1028389,가산리
1033600,득명리
1061985,석우리
1149318,신평리
1152049,봉암리
1274639,화남리
1304413,가천리
1309813,천평리
1370350,조동리
1453538,다곡리
1579712,남원리
1602769,하장리
1714701,용산리
