,출발지 행정동
1,황금1동
2,신당동
3,신암4동
4,삼덕동
5,지산1동
7,진천동
9,비산7동
10,관문동
11,이곡2동
14,대현동
18,신천4동
19,봉덕1동
20,성내1동
21,태전2동
23,월성2동
24,남산2동
25,장기동
28,만촌2동
29,침산3동
30,평리5동
31,노원동
32,두류1
33,칠성동
34,봉덕2동
38,월성1동
42,남산1동
43,송현1동
45,성당동
48,본동
50,범물2동
51,대명3동
54,상인2동
56,논공읍
59,산격1동
60,산격4동
64,봉덕3동
65,평리1동
68,평리3동
69,동촌동
73,옥포읍
74,현풍읍
76,만촌1동
79,화원읍
82,안심2동
83,공산동
86,송현2동
88,신천3동
90,안심3동
91,평리4동
92,안심1동
95,성내2동
96,유가읍
97,상인3동
100,대명4동
101,복현2동
103,신암2동
105,도원동
108,비산2.3동
113,내당1동
114,불로.봉무동
117,다사읍
119,비산4동
121,남산4동
123,수성4가동
127,동인동
131,상중이동
136,국우동
142,대명2동
144,무태조야동
145,내당4동
146,본리동
148,산격3동
151,원대동
155,읍내동
162,상인1동
164,대명6동
165,대명9동
167,용산1동
168,대신동
170,범물1동
172,수성2.3가동
180,효목1동
185,동천동
190,평리6동
192,고성동
195,평리2동
204,지저동
206,감삼동
213,비산1동
219,범어1동
228,산격2동
252,해안동
262,비산6동
263,지산2동
270,남산3동
282,용산2동
286,성내3동
288,파동
293,대명11동
298,효목2동
299,대명1동
308,고산1동
314,방촌동
320,신천1.2동
331,상동
335,두산동
346,범어2동
366,도평동
379,고산2동
416,이천동
446,이곡1동
458,중동
494,신암3동
496,안심4동
499,두류3동
508,혁신동
558,죽전동
564,범어3동
567,대명10동
646,구암동
671,대봉1동
673,침산1동
680,관음동
698,황금2동
737,신암5동
740,복현1동
767,태전1동
768,비산5동
772,범어4동
783,고산3동
828,대명5동
933,가창면
1001,대봉2동
1004,내당2.3동
1033,검단동
1169,신암1동
1175,하빈면
1190,침산2동
1258,구지면
1508,만촌3동
1833,수성1가동
2128,이방리
3368,대견리
37272,목단리
60998,서부1동
86764,곽촌리
89141,서부2동
101367,부적리
126947,기성리
128650,송곡리
137426,용산리
175564,장천리
190506,유천동
346320,장유2동
503108,음양리
869548,낙산리
909142,연호리
1115409,거남리
1233755,정녕리
1266966,금곡리
1298635,학명리
1388765,문수리
1464572,팔조리
