,출발지 행정동
458, 황금동 
470, 봉무동 
473, 산격1동
475, 칠성동
478, 대명천로11길 
490, 종로2가
493, 국우동 
495, 칠성동1가
506, 파호동
508, 대명4동
512, 봉덕동(봉덕3동)
515, 동인동2가 
516, 동인1.2.4가동
518, 대경길 
520, 대명1동 
527, 대명11동
528, 논공읍 
530, 신서동
534, 하빈면
536, 파동로 
539, 동성로2가 
548, 성내2동
561, 복현동 
569, 상매동
570, 신기동 
575, 서호동 
576, 범물2동
579, 읍내동 
584, 태전동
591, 국우동
592, 매호동
593, 범어3동
614, 상인1동
617, 대명동(대명9동)
618, 대안동
621, 지저동 
651, 사일동
652, 매천동
657, 대명3동
669, 남산동(남산2동)
677, 검사동
690, 신암3동
705, 비산동(비산5동)
714, 평리동 
715, 수성동3가
716, 송현1동
738, 동산동 
739, 동호동
744, 내당동(내당1동)
745, 연암로 
751, 동인동3가 
766, 대명5동 
770, 계산동2가 
772, 화원읍 구라리
780, 대명4동 
783, 포정동
788, 대명서로 
792, 비산동(비산7동)
794, 매천동 
795, 산격동 
809, 칠곡3동
810, 사수동
817, 태전동 
818, 읍내동
827, 유가읍 
833, 송현2동
843, 수동
852, 두류3동
853, 야외음악당로41안길 
859, 서문로1가
860, 가창면 행정리
869, 두산동 
875, 상동 
879, 화원읍 
881, 학정동 
891, 관음동
893, 현풍읍 원교리
903, 입석동
914, 남산4동
915, 수성동4가
918, 노원동3가
920, 호림동
927, 만촌동(만촌2동)
929, 동인동1가
935, 장관동
949, 수성2.3가동
952, 달서로 
955, 공평동 
958, 현충로18길 
960, 비산동 
964, 노원1.2동
972, 칠성동1가 
978, 노원동3가 
982, 효목로 
983, 상인3동
987, 대명9동 
999, 사월동
1002, 노원동2가 
1003, 칠성동2가 
1013, 앞산순환로79길 
1017, 논공읍 북리
1021, 고성동
1023, 삼덕동3가 
1033, 황금1동
1035, 장기동 
1041, 대현동 
1047, 안심1동
1052, 남산1동
1053, 안심3.4동
1058, 감삼남2길 
1062, 삼덕동
1067, 대명10동
1076, 감삼동 
1078, 범어동(범어4동)
1104, 대봉동
1105, 옥포읍
1119, 성당1동
1181, 중리동 
1182, 산격1동 
1184, 백안동
1206, 대봉1동
1207, 이천동 
1215, 동인동3가
1218, 중동
1219, 수성4가동
1222, 성내1동
1235, 화랑로42길 
1249, 비산동(비산6동)
1250, 평리4동
1252, 구지면 
1255, 대명동(대명4동)
1256, 신천1.2동
1257, 범물동(범물1동)
1270, 다사읍 문양리
1272, 원대동1가
1277, 중동 
1278, 유가읍 쌍계리
1279, 유가읍
1281, 가창면 우록리
1284, 종로2가 
1286, 비산2.3동
1287, 남산2동
1296, 대명10동 
1304, 현풍면
1305, 유가면
1311, 대곡동 
1314, 다사읍 서재리
1315, 동인동4가
1321, 현풍읍
1331, 달서천로49길 
1349, 효목동(효목1동)
1367, 남성로 
1406, 서변동
1408, 노원동2가(노원동)
1410, 팔달동
1423, 두류1.2동
1437, 가창면 용계리
1439, 대명동(대명1동)
1447, 신천동(신천4동)
1457, 고성동3가
1461, 관음동 
1478, 원대동3가
1503, 옥포읍 강림리
1532, 신천4동
1546, 구지면
1548, 평리3동 
1586, 평리6동 
1604, 침산2동
1607, 대동로 
1610, 남일동
1611, 국채보상로61안길 
1613, 동성로3가
1617, 수성동2가
1621, 각산동 
1623, 둔산로51길 
1625, 원대동2가
1636, 범어1동
1643, 대천동
1645, 14 
1673, 팔공로29길 
1712, 수성동1가(수성1가동)
1726, 동인동2가
1728, 서호동
1737, 숙천동
1738, 숙천동 
1743, 송현1동 
1750, 종로1가
1767, 월성1동
1768, 서문로2가
1771, 용수동
1777, 평리3동
1814, 월배로80길 
1820, 화원읍 천내리
1863, 송현2동 
1870, 상중이동
1891, 지산2동
1897, 금강로16길 
1905, 고성북로10길 
1917, 두류공원로
1926, 율하동로12길 
1927, 사복동
1929, 죽전동 
1931, 대봉동 
1933, 비산동(비산4동)
1934, 대명6동
1957, 비산4동
1980, 동변동 
1986, 비산1동 
2005, 만촌1동
2013, 내당동(내당4동)
2026, 입석동 
2047, 문화로67길 
2048, 가창면
2057, 선원로 
2072, 삼덕동3가
2078, 대현1동
2083, 방촌동 
2084, 매호동 
2088, 도학동
2230, 동호로2길 
2239, 현풍읍 하리
2241, 월배로 
2256, 화원읍 명곡리
2258, 대명동(대명5동)
2265, 신암4동
2296, 봉덕3동
2314, 유천동
2364, 동문동
2369, 다사읍 매곡리
2378, 대명동(대명10동)
2381, 칠곡2동
2400, 와룡로45길 
2412, 평리동(평리3동)
2415, 동성로2가
2428, 달구벌대로323길 
2433, 용산동(용산1동)
2449, 대구호산점 
2501, 송현동(송현2동)
2520, 현풍읍 
2536, 서대구로42길 
2540, 송현동(송현1동)
2543, 성당로 
2549, 달서로12길 
2552, 두류동(두류3동)
2570, 국채보상로50길
2572, 상인1동 
2573, 명덕로30길 
2574, 신천동(신천3동)
2605, 계명5길 
2628, 대명2동
2666, 사수동 
2952, 옥포면 
2960, 상인2동
2985, 유천동 
3966, 범안로 
3986, 원대동3가 
3996, 고산1동
3999, 들안로46길 
4032, 봉산동
4056, 명덕로18길 
4075, 구암로 
4106, 상리동
4114, 효목1동
4122, 삼덕동1가 
4125, 공평동
4131, 검사동 
4136, 남일동 
4138, 사복동 
4140, 율암동
4141, 노곡동
4145, 동내동 
4152, 평리로 
4194, 내당4동
4301, 명덕로8길 
4343, 교동
4373, 시지동
4386, 동변동
4416, 만촌동(만촌3동)
4477, 비산동(비산1동) 
4478, 통학로48길 
4497, 현충로19길 
4551, 국채보상로48길 
4591, 황금2동
4598, 시장북로 
4665, 도동
4674, 구지면 응암리
4678, 태평로3가
4679, 대구1호선 
4734, 복현동(복현1동)
4741, 고모동
4742, 현풍면 
4751, 달서천로 
4775, 문화회관3길 
4809, 대명로14길 
4816, 평리동(평리2동)
4829, 두류2동
4904, 계명1길 
4933, 지묘동 
4958, 미곡동 
5065, 용계동 
5076, 다사읍 죽곡리
5099, 나들가게앞 
5125, 신평동 
5142, 논공읍 남리
5252, 남산로3안길 
5333, 원대동
5340, 원대동1가 
5350, 유가읍 봉리
5356, 화원읍 성산리
5394, 문화로43길 
5403, 범어동(범어3동)
5409, 신평동
5462, 평리동(평리6동)
5466, 성서동로62길 
5470, 봉덕2동
5492, 옥포읍 교항리
5496, 수성동2가 
5497, 신천3동
5507, 월배로84안길 
5564, 대명동(대명6동)
5567, 옥포읍 본리리
5578, 상인서로 
5597, 조야동
5611, 큰골길 
5612, 안지랑로11길 
5621, 대명1동
5688, 대명로19길 
5692, 조야동 
5695, 가창면 
5706, 평리1동
5719, 덕산동 
5755, 서야동 
5848, 봉산동 
5863, 명덕로28길 
5899, 옥포면 반송리
5907, 파동로2길 
5920, 모산골길 
5959, 달서로25길 
5961, 달서로9길 
5979, 들안로52길 
6053, 비산4동 
6060, 범어2동
6101, 율하동로26길 
6108, 원대동2가 
6154, 신암동(신암4동)
6155, 황금동(황금2동)
6228, 수성로52길 
6282, 성내3동
6292, 용학로
6307, 용산1동
6426, 진인동
6433, 미대동
6681, 검단동
6684, 두류남4길 
6718, 달성동 
7688, 욱수동
7750, 가창면 정대리
7756, 관음동로32길 
7815, 국채보상로78길 
7818, 산격4동
7822, 동인동1가 
7839, 평광동
7854, 만촌동(만촌1동)
7887, 검단로 
7905, 신천동로96길 
8017, 욱수동 
8084, 달구벌대로243길 
8110, 들안로40길 
8168, 대봉로 
8273, 범어천로 
8358, 대학로 
8504, 이현동 
8524, 대명3동 
8526, 중앙대로77길 
8531, 370 
8534, 갈산동 
8588, 상인동(상인2동)
8589, 노원동1가
8687, 효행로2길 
8706, 태평로1가
8729, 현풍읍 성하리
8756, 상인3동 
8784, 수창동 
8834, 가창면 삼산리
8868, 삼덕동1가
8889, 칠곡3동 
8935, 침산남로7길 
9001, 감삼남2안길 
9012, 상인동(상인3동)
9018, 수성동1가 
9041, 하빈면 감문리
9059, 하빈면 대평리
9089, 내곡동 
9146, 비산1동
9199, 산격동(산격1동)
9604, 대림동
9612, 범안로4길 
9624, 동변로 
9625, 월암동 
9632, 안지랑로7길 
9747, 대안동 
9786, 갈산동
9885, 두류1동
9912, 문화동
9936, 동변동(무태조야동)
9990, 북성로1가
10045, 월성2동 
10075, ktx 
10129, 국채보상로150길 
10142, 노원3동
10180, 영송로 
10184, 부동
10203, 아양로15길 
10224, 장동
10232, 범어4동
11533, 동천로24길 
11558, 평리2동
11567, 노변동 
11588, 남산4동 
11764, 북성로2가 
11783, 침산남로 
11787, 성서공단북로 
11837, 수성1가동
11862, 대경4길 
11865, 계명7길 
11890, 두류공원로5길 
11954, 태전동(태전2동)
11971, 고성동2가
11990, 이천로5길 
12052, 반야월북로57길 
12177, 하서동
12206, 범어동(범어2동)
12228, 태전동(태전1동)
12349, 팔공로28길 
12365, 봉덕남로 
12376, 산격3동
12446, 두류동(두류1.2동)
12453, 대흥동 
12469, 명덕로 
12489, 서내동
12656, 봉덕동(봉덕1동)
12674, 신당로 
12777, 논공읍 금포리
12816, 장기로5길 
13030, 인교동
13067, 문화로 
13071, 동촌동
13076, 북성로1가 
13138, 동인동3가(동인동)
13166, 대구3호선 
13275, 화랑로 
13363, 달서구 장동 
13517, 동촌로25길 
13530, 범어동(범어1동)
13693, 큰장로9길 
13725, 인교동 
13819, 해동로 
13886, 관음동로13길 
13918, 중흥로 
13931, 앞산순환로 
13968, 만촌로8길 
13977, 태평로1가 
13995, 동내동
14293, 구지면 창리
14299, 침산3동
14302, 연경동 
14354, 조암로 
15315, 성북로 
15525, 남산동(남산4동)
15598, 대명천로20길 
15609, 이현동
15812, 당산로41동길 
15874, 산격동(산격3동)
16024, 월드컵로 
16095, 동성로3가 
16113, 성동 
16313, 47-15 
16622, 동인동4가 
16644, 화원읍 설화리
16681, 국채보상로214길 
16719, 만촌1동 
16745, 용덕동
16746, 대명로 
16983, 평리5동
17015, 달구벌대로 
17019, 갈밭남로 
17336, 전동
17363, 불로동 
17407, 반야월로1길 
17549, 율하동로17길
17566, 남성로
17602, 두류공원로13길 
17619, 성당로33길 
17652, 서야동
17659, 성당2동
17725, 60-6 
17981, 시장북로
18014, 상인동(상인1동)
19235, 서문로1가 
19254, 남산3동
19273, 황금1동 
19296, 평리동(평리5동)
19627, 이곡동로 
19644, 원대동 
19925, 수동 
19975, 현충로39길 
19984, 대명동(대명11동)
20014, 학정로 
20207, 고산2동
20243, 태평로3가 
20284, 검단로27길 
20356, 용산로12길 
20666, 대봉동(대봉1동)
20899, 다사읍 세천리
20902, 불로.봉무동
20958, 칠곡중앙대로 
21098, 포정동 
21128, 구지면 평촌리
21457, 당산로21길 
21487, 무학로11길 
21505, 도동 
21507, 공항로53길 
21804, 월암동
22857, 공평로4길 
22916, 입석로1길 
22976, 대명천로6길 
23033, 도촌길 
23114, 노변동
23209, 화원읍 본리리
23232, 도평동
23571, 안지랑로15길 
23794, 평리4동 
23796, 향촌동 
23810, 삼정길 
24071, 신암동(신암2동)
24193, 봉덕동(봉덕2동)
24319, 현풍면 상리
24370, 무학로33길 
24460, 동원로12길 
24583, 태평로2가
24595, 동대구로 
24890, 대명복개로4길 
24973, 신평로16길 
25083, 장전3길 
25163, (침산점) 
25187, 태평로2가 
25199, 와룡로17길 
25200, 아양로 
25344, 경안로 
25640, 하빈면 
26680, 달서천로74길
26716, 반야월북로 
26835, 노원동1가 
26877, 남산동(남산3동)
26888, 대현2동
26958, 서대구로7길 
27030, 신무동
27039, 와룡로 
27071, 대봉동(대봉2동)
27284, 상서동
27295, 비산6동
27325, 이천로28길 
27394, 하빈면 봉촌리
27468, 국채보상로56길 
27539, 두류공원로18길 
27693, 상덕동
27695, 대흥동
27887, 서대구로41길 
28007, 호림동 
28020, 내곡동
28038, 이곡2동
28119, 동암로7길 
28223, 고성동3가 
28251, 대봉2동
28351, 계산동1가
28354, 신암1동
28374, 침산동(침산1동)
28645, 내당1동
28918, 북비산로53길 
28977, 유가읍 유곡리
30603, 내당동(내당2.3동)
30634, 동북로 
30740, 율하동로 
30824, 성당로33안길 
30896, 들안로32길 
30903, 고산4길 
31696, 평리1동 
31795, 구지면 화산리
31885, 달구벌대로377길 
31893, 동덕로 
32045, 와룡로9길 
32618, 현풍면 중리
32619, 대명서5길 
32835, 용산동(용산2동)
32839, 지범로 
34219, 옥산로 
34611, 현충로7길 
34648, 성서동로 
34672, 동원로 
34894, 북비산로67길 
35170, 47-15->상인 
35172, 공항로56길
35256, 둔산동
35695, 대림동(안심3동)
35768, 대구위브더제니스지점 
35889, 동덕로26길 
36022, 동화천로 
36127, 장동 
36321, 수성구 수성동3가 
36596, 아양로41길 
36598, 팔공산로 
36929, 달서로16길 
36941, 매천동(관문동)
38091, 하빈면 묘리
38191, 국채보상로50길 
38285, 공항로 
38481, 삼덕동3가(삼덕동)
38683, 고산1동 
38855, 상화북로43길 
39250, 유가면 쌍계리
39335, 만촌3동
39562, 내동
40630, 달서구 파호동 
41855, 지산동(지산1동)
41900, 성당로
41924, 옥포읍 기세리
42566, 지산로11길 
42630, 봉덕로
42864, 남구 대명동 
42938, 칠곡1동
43389, 현충로25길 
43494, 봉덕로6길 
43511, 관음중앙로21길 
43541, 서구 평리동 
43573, 11 
44116, 동성로1가 
44650, 칠곡중앙대로114길 
45559, 북비산로63길 
45573, 서성로1가
45742, 서구지회 
45776, 부동 
45824, 복현1동
46053, 고성동2가(고성동)
46168, 괴전동 
46563, 장산2길 
46881, 용수동 
46924, 국채보상로42길 
46931, 대구캠퍼스 
47197, 공경로3길 
47405, 북내동
47438, 희망로36길 
47676, 침산남로
47851, 대명천로 
47910, 동부로30길 
47927, 원대동1가(원대동)
47936, 달성로22길 
48026, 두류공원로16길 
49489, 도학동 
49612, 통학로16길 
49655, 북구 복현동 
49681, 산격2동
49756, 공산동
50420, 월곡로53길 
51006, 금호동 
51041, 송현로 
51069, 용산2동 
51428, 현풍읍 부리
51532, 사일동 
51547, 동호동 
51707, 구마로11길 
52060, 24 
52103, 범어로19길 
53188, 서성로1가 
53872, 동화천로
54166, 국채보상로 
54379, 구지면 내리
54391, 서문로2가 
54574, 옥포읍 비슬로468길
54965, 율하동로15길 
55381, 주좌길 
57177, 죽전4길 
57640, 효목로
58822, 중앙대로41길 
59002, 성내1동 
59129, 월배로14길 
59350, 방촌로15길 
59700, 봉덕로 
61440, 대구체육관로 
61460, 숙천동(혁신동)
61484, 서변로23길 
61535, 3공단로 
61884, 중구 종로1가 
62044, 신암동(신암3동)
62175, 화랑로39길 
62189, 대명11동 
62928, 와룡로53길 
64816, 원대동3가(원대동)
64924, 삼덕동 
65256, 자유3길 
65269, 삼각지6길 
65287, 달구벌대로291길 
65415, 장관동 
65550, 안지랑로19길
65581, 중앙대로48길
65987, 북비산로59길 
66134, 만촌로28길 
66194, 노원로 
66712, 147 
66927, 동문동 
66981, 덕곡동
67331, 성당로50길 
68717, 침산남로9길 
68827, 대명6동 
69051, 범어3동 
69867, 칠성동1가(칠성동)
69891, 현충로15길
69944, 매자안길 
70290, 신천4동 
70390, 효신로16길 
70395, 청솔로4길 
70507, 월서로 
70625, 중앙대로48길 
70651, 유통단지로 
70899, 팔거천동로 
71197, 계명중앙1길 
72137, 파도고개로20길 
72141, 동구 봉무동 
72177, 연경지묘로 
72205, 안심2동
72420, 관문시장4길 
72584, 산격동(산격2동)
72901, 월곡로27길 
72957, 선원로23남길 
72999, 서변로 
73026, 안지랑로20길 
73029, 중대동 
73047, 방천로1길 
73212, 국채보상로75길 
73292, 서내동 
73353, 동호로2길
73490, (본점) 
73555, 36 
73721, 율하동(안심1동)
73740, 교학로7길 
73921, 중앙대로 
73959, 구암로21길 
74038, 침산동(침산3동)
74122, 태전로7길 
74310, 연호동
74346, 중구 동성로2가 
74419, 들안로28길 
74526, 대림동 
74940, 동촌로56길 
75907, 침산1동 
76901, 청솔로 
77085, 송현동5길 
77142, 종로 
77459, 지범로39길
78092, 문화동 
79857, 대명복개로 
79952, 다사읍 부곡리
80058, 청호로 
80175, 논공읍 본리리
80525, 54 
81000, (다사지점) 
81065, 경안로109길 
81532, 신암5동
81535, 둔산로2길 
81577, 동성로 
81605, 동인동2가(동인동)
81887, 상서동 
83567, 달구벌대로
83580, 아양로11길 
83683, 산격로 
85070, 옥포읍 반송리
85495, 구지면 예현리
85577, 고성동2가 
85586, 동인3가동
85922, 대명로20길 
87328, 통학로28길 
87953, 삼정4길 
88560, 관음중앙로17길 
88586, 상화로 
88587, 월곡로
88596, 논공읍 삼리리
88656, 논공읍 노이리
88936, 중앙대로28길
88942, 복현2동
89319, 장기동(용산1동)
89383, 월성로
89469, 상화로21길 
89510, 하빈면 동곡리
91053, 용산로 
91260, 달서로14길 
91335, 들안로 
91400, 칠곡중앙대로115길 
91740, 범어로27길 
91904, 본점 
92073, 야외음악당로 
92211, 오봉로 
92309, 범물1동 
93289, 서변동(무태조야동)
93317, 이곡동(이곡2동)
95193, 진천로 
95566, 야외음악당로33길 
95699, 수성동4가(수성4가동)
96193, 92 
96913, 한실로 
97151, 감삼3길 
97215, 교동 
98695, 중대동
98922, 수성2.3가동 
99017, 야외음악당로47길 
99118, 옥포읍 간경리
99322, 반야월로 
99324, 팔공로26길 
99349, 파동로3길 
99439, (ktx) 
99543, 감삼남1길 
100092, 상원로1길 
100130, 본리서5길 
100172, 능성동 
100720, 성서4차첨단로 
100766, 두류공원로20길 
100768, 반야월로14길 
101307, 수성구 상동 
102429, 와룡로2길 
102500, 범안로16길 
102560, 수성동3가(수성2.3가동)
102726, 침산동(침산2동)
103961, 능성동
104315, 서성로14길 
104729, 율암동 
106888, 대구2호선 
107121, 구마로52길 
107269, 평리로83길 
108002, 학남로15길 
108018, 화랑로80길
108046, 동인동4가(동인동)
108228, 수성로50길 
108266, 경대로 
108309, 고성로
108344, 상화로
110545, 비산5동
111859, 동촌동 
112279, 만촌로4길 
112355, 본점->평리 
112461, 연호동 
114041, 통학로49길 
114124, 효동로 
114203, 중대동(공산동)
114347, 성당로53길 
115183, (대구1호선) 
115349, 지산1동 
116001, 학정동로 
117858, 성동
117925, 효동로2길 
117958, 달구벌대로443길 
117996, (봉덕동지점) 
117999, 화전동
118069, 금호동
118643, 지범로39길 
119367, 봉덕로9길 
120017, 청수로 
120450, 이곡공원로1길 
121457, 관음중앙로7길 
121590, 산격로11길 
121748, 옥포읍 김흥리
121871, 달서천로
122512, 국채보상로143길 
122578, 서대구로 
122701, 달성공원로8길 
122753, 두류남7길 
122765, 전동 
122836, 동촌역사로3길 
122944, 칠성로 
123141, 달서구 상인동 
123452, 수성구 수성동2가 
123822, 와룡로57길 
125402, 당산로41길 
125533, 성당로18길 
125609, 문화로33길 
126429, 무열로39길 
126521, 43-6 
127390, 안골1길 
129179, 성당2동 
129238, 학산로47길 
129830, 하빈면 하산리
129915, 송정동 
130049, 팔달동 
130313, 남산3동 
130443, 대명서4길
133063, 비산7동 
133259, 대명로6길 
133769, 서대구로29길 
133807, 799-7 
134175, 송현로16길 
134802, 1번출구 (대구2호선) 
134905, 월곡로45길 
135122, 공평로 
136810, 대현로9길
136929, 입석동(동촌동)
137156, 성서공단로51길 
137284, 이천로 
137285, 화랑로39길
137329, 가창면 오리
137361, 동촌로45길 
138081, 구마로26안길 
138085, 성서공단로 
138106, 대명남로 
138579, 달구벌대로283길 
138619, 신암동(신암5동)
138680, 논공점 
138783, 대구경북총판 
138834, 유가읍 용리
138918, 용학로 
140396, 종로1가 
140602, 현충로 
140668, 감삼동(죽전동)
140726, 구지면 대암리
140807, 청솔로6길 
140877, 연경지묘로
140934, 화랑로38길 
141095, 감삼남길 
141141, 1번출구 대구2호선 
141518, 파동로38길 
141553, 팔거천동로26길 
141640, 진천로3길 
141936, 노곡동 
142422, 갈밭로4길 
142803, 대구체육관로2길 
143158, 국채보상로60길 
144220, 이천로9길 
144920, 현풍읍 상리
148316, 국채보상로
148856, 하서동 
148872, 노원동1가(노원동)
149622, 비슬로550길 
149839, 앞산순환로89길 
152389, 당산로47길 
155595, 동성로1가
156126, 신암점 
156224, 유통단지로3길 
156355, 국채보상로43길
156428, 서당로9길
156440, 대명로
161028, 장기동554-7 
161032, 노원동3가(비산7동)
163442, 학산로46길 
167070, 대학로
167216, 106동 
167634, 명덕로2길
167818, 와룡로
167819, 해동로
168749, 구마로
171432, 도평로
174986, 122-21 
179162, 신기동(안심1동)
179508, 신기동93 
179799, 대합면
180199, 4 
182976, 아양로7길
192454, 장전1길 
194362, 송현로8안길 
195614, 청수로
199062, 남산동707-36 
204205, 동호로9길
205381, 103동 
206644, 104동 
218254, 태평로1가1-186 
218884, 동일동
221300, 303동 
221550, 대명천로
222225, 북성로2가
222850, 월배로80길
225583, 신암동612-56 
228654, >>안심 
228746, 대봉동750-7 
236042, 삼덕동2가149-13 
245662, 양지로 
252476, 미곡동
255426, 사월동 
263022, 고모동 
270438, 동산동75-21 
270736, 고성동1가
274049, 매여동
274127, 108동 
274398, 성당로39길 
276448, 월곡로 
279329, 신암3동 
280048, 48-15 
287431, 203동704 
290649, 신용동
297342, 본점 >>평리 
298731, 108동>>장기 
301167, 상리동 
304546, >>숙천동 
305498, 102동 
306332, 신암동610-33 
329421, 대명동2007-11 
340538, 대신동1761-1 
344403, 1번출구 
347267, 201동 
347903, 상인비둘기102동 
354860, 진인동 
359500, 304동 
362432, 사수동772 
363376, 122-11 
369939, 38-1 
373460, 704호 
374071, 완전동 
374602, 305동 
377622, 후문 
378781, 산격동815-25 
386173, 상인동1519-1 
398648, 구지면 도동리
403766, 208동 
405879, 본점>>평리 
411598, 금강동
413292, 105동 
430519, 19 
432040, 갈산동358-165 
434956, 복현동690-2 
442535, 신기동547-9 
459465, 1번출구 >>대신동 
465113, 노변로 
486366, 21-8 
488279, 이서면
491455, 3 
501406, 33-5 
503799, 상덕동 
504131, 상원로4길 
504561, 777-3 
511579, 범어4동 
522350, 북구 읍내동 
533810, 9-16 
547026, 162 
552530, 도남동
557951, 37 
581327, 54-8 
583963, 대곡동1082-1 
588874, 308동 
589083, 중앙대로49길 
594646, 22 
612755, 7 
638115, 40-7 
642454, 110동 
644401, 삼덕동1가65-30 
672692, 101동 
682259, 203동->용산 
687238, 5동 
690860, 102동 8.9라인 
691442, 47-15>상인동 
694717, 봉덕동948-67 
695322, 8 
699561, 율하동1289 
717664, 두산동167-18 
718040, 율하동1511 
743550, 203동 
744520, 송현동1031-1 
766966, 송현동1033-4 
770169, 301동 
770965, 완전동
782837, 73 
794344, 삼덕동3가147-6 
798232, 성당동429-8 
811849, 1동 
823865, 상매동 
824518, 두류동481-14 
834396, 중동70-1 
839542, 913동 
843333, 상인동1332-196 
872203, 덕산동88 
872348, 동대구로14길 
891639, 상인로 
895767, 동인동3가271-13 
914473, 107동 
921561, 동촌로58길 
922713, 16 
923086, 1401동 
932617, 1303동 
945365, 205동 
972507, 206동 
1048922, 203동704호 
1063030, 상인동1511 
1081770, cu편의점 
1087804, 두류동742-3 
1092863, 용산동230-10 
1096884, 193 
1118255, 28 
1131281, 태전동1122 
1138513, 13 
1146246, 신매동578-12 
1164315, 이곡동1202-4 
1193738, 90-43 
1197791, 10 
1206096, 호산동357-65 
1210085, 입석동967-29 
1229254, 6 
1244164, 호산동388 
