,출발지 행정동
77, 다사읍
79, 본동
80, 감삼동
81, 신당동
82, 이곡동 
83, 지산동 
84, 장전4길 
85, 파동 
87, 중리동
88, 봉덕동
89, 범물동
90, 가창면 냉천리
91, 신천동
92, 옥포읍 
94, 칠성동2가
95, 신천동 
98, 효목동
99, 대명5동
100, 성당동 
101, 달성동
104, 가천동
105, 지산1동
106, 신매동 
107, 본리동 
108, 서변동 
109, 진천동
110, 동천동
111, 구암동
117, 신암동
118, 괴전동
119, 수창동
121, 불로동
122, 지저동
123, 침산동
124, 시지동 
125, 대신동
126, 대명동(대명3동)
129, 봉덕1동
130, 만촌동
133, 도원동 
135, 두류동
136, 월성동
137, 산격동(산격4동)
138, 대명동
139, 
140, 비산동(비산1동)
141, 파동
143, 대명동 
146, 다사읍 
148, 호산동
152, 신기동
156, 구암동 
158, 동천동 
159, 성당동
160, 비산동
163, 송현동 
168, 수성동4가 
170, 신암동(신암1동)
171, 노원동2가
172, 장기동
174, 향촌동
175, 파호동 
177, 용산동
181, 진천동 
183, 송현동
186, 동산동
187, 남산동 
189, 본동 
192, 본리동
194, 현풍읍 중리
195, 월성동 
196, 상인동
203, 대명서2길 
205, 내당동
212, 계산동2가
214, 신암2동
216, 복현동(복현2동)
217, 신암동 
219, 복현동
224, 방촌로3길 
225, 침산동 
226, 방촌동
227, 상인동 
228, 지묘동
229, 효목동 
231, 이곡동
233, 남산동(남산1동)
234, 봉덕동 
237, 삼덕동2가
243, 신서동 
246, 대현동
248, 수성동1가
250, 범어동
259, 산격동
261, 만촌동 
262, 범어동 
263, 용계동
267, 두산동
273, 남산동
276, 범물동(범물2동)
278, 율하동 
282, 지산동
293, 삼덕동2가 
294, 내당2.3동
302, 비산동(비산2.3동)
304, 평리동(평리1동)
305, 대천동 
307, 평리동
308, 평리동(평리4동)
309, 용산동 
312, 죽전동
314, 북비산로61길 
317, 서대구로40길 
320, 내당동 
322, 봉무동
323, 황금동
324, 학정동
331, 검단동 
335, 월성2동
338, 두류동 
348, 신당동 
349, 무학로21안길 
354, 신매동
359, 호산동 
361, 대신동 
363, 화원읍
364, 노변공원로3길
369, 대경6길 
370, 이천동
377, 상동
378, 수성동3가 
379, 옥포면
381, 각산동
382, 만촌2동
387, 율하동
388, 송정동
394, 효목동(효목2동)
395, 도원동
396, 대명동(대명2동)
397, 덕산동
407, 당산로 
408, 대곡동
410, 논공읍
418, 대명9동
427, 연경동
428, 비산7동
429, 범물동 
437, 범물1동
441, 효목2동
