,출발지 행정동,월,주,요일,평균배차시간(초)
0,가산리,8,31,3,1741.0
1,가창면,1,1,0,1057.2857142857142
2,가창면,1,1,1,763.5454545454545
3,가창면,1,1,2,832.4285714285714
4,가창면,1,1,3,2169.6666666666665
5,가창면,1,1,4,831.5833333333334
6,가창면,1,1,5,1097.3333333333333
7,가창면,1,1,6,886.8
8,가창면,1,2,0,742.6666666666666
9,가창면,1,2,1,1162.4545454545455
10,가창면,1,2,2,943.6666666666666
11,가창면,1,2,3,2088.8
12,가창면,1,2,4,1341.8333333333333
13,가창면,1,2,5,1014.25
14,가창면,1,2,6,908.6666666666666
15,가창면,1,3,0,1030.0
16,가창면,1,3,1,1341.6923076923076
17,가창면,1,3,2,1521.7142857142858
18,가창면,1,3,3,1033.25
19,가창면,1,3,4,1362.1818181818182
20,가창면,1,3,5,1153.1666666666667
21,가창면,1,3,6,1922.0
22,가창면,1,4,0,937.5
23,가창면,1,4,1,709.25
24,가창면,1,4,2,727.8571428571429
25,가창면,1,4,3,789.5
26,가창면,1,4,4,941.9166666666666
27,가창면,1,4,5,1252.4166666666667
28,가창면,1,4,6,917.5714285714286
29,가창면,1,5,0,1192.625
30,가창면,1,5,1,1045.875
31,가창면,1,52,6,823.5
32,가창면,2,5,2,1172.857142857143
33,가창면,2,5,3,907.875
34,가창면,2,5,4,939.0625
35,가창면,2,5,5,953.5555555555555
36,가창면,2,5,6,955.7142857142857
37,가창면,2,6,0,1123.6
38,가창면,2,6,1,621.8571428571429
39,가창면,2,6,2,1204.3333333333333
40,가창면,2,6,3,1279.6
41,가창면,2,6,4,690.5
42,가창면,2,6,5,1921.1666666666667
43,가창면,2,6,6,1273.7272727272727
44,가창면,2,7,0,925.3
45,가창면,2,7,1,609.4
46,가창면,2,7,2,1491.6666666666667
47,가창면,2,7,3,1190.0
48,가창면,2,7,4,974.3636363636364
49,가창면,2,7,5,1058.3333333333333
50,가창면,2,7,6,1241.4
51,가창면,2,8,0,1391.6153846153845
52,가창면,2,8,1,592.25
53,가창면,2,8,2,863.5
54,가창면,2,8,3,1513.6666666666667
55,가창면,2,8,4,1313.2857142857142
56,가창면,2,8,5,1031.0
57,가창면,2,8,6,1124.6
58,가창면,2,9,0,1079.1666666666667
59,가창면,2,9,1,888.0833333333334
60,가창면,3,9,2,650.4
61,가창면,3,9,3,1175.909090909091
62,가창면,3,9,4,775.25
63,가창면,3,9,5,1445.090909090909
64,가창면,3,9,6,741.8888888888889
65,가창면,3,10,0,1155.7777777777778
66,가창면,3,10,1,1230.875
67,가창면,3,10,2,1064.1666666666667
68,가창면,3,10,3,969.8666666666667
69,가창면,3,10,4,955.8333333333334
70,가창면,3,10,5,1074.2
71,가창면,3,10,6,2292.5
72,가창면,3,11,0,1147.5
73,가창면,3,11,1,1078.4285714285713
74,가창면,3,11,2,1192.6923076923076
75,가창면,3,11,3,1914.4444444444443
76,가창면,3,11,4,773.3333333333334
77,가창면,3,11,5,1592.3
78,가창면,3,11,6,1435.25
79,가창면,3,12,0,1876.8
80,가창면,3,12,1,1055.3846153846155
81,가창면,3,12,2,1775.142857142857
82,가창면,3,12,3,2084.6666666666665
83,가창면,3,12,4,1192.25
84,가창면,3,12,5,916.875
85,가창면,3,12,6,1194.0
86,가창면,3,13,0,1010.0
87,가창면,3,13,1,994.1666666666666
88,가창면,3,13,2,1761.4
89,가창면,3,13,3,1061.125
90,가창면,3,13,4,1454.2727272727273
91,가창면,4,13,5,914.9
92,가창면,4,13,6,1647.8
93,가창면,4,14,0,997.4
94,가창면,4,14,1,1054.5384615384614
95,가창면,4,14,2,693.4
96,가창면,4,14,3,1584.6153846153845
97,가창면,4,14,4,767.0
98,가창면,4,14,5,1556.6
99,가창면,4,14,6,809.0
100,가창면,4,15,0,1052.1666666666667
101,가창면,4,15,1,735.0
102,가창면,4,15,2,2209.8333333333335
103,가창면,4,15,3,1483.1666666666667
104,가창면,4,15,4,923.0
105,가창면,4,15,5,1019.0909090909091
106,가창면,4,15,6,1651.25
107,가창면,4,16,0,763.0
108,가창면,4,16,1,1348.625
109,가창면,4,16,2,1780.3636363636363
110,가창면,4,16,3,1041.7333333333333
111,가창면,4,16,4,1363.923076923077
112,가창면,4,16,5,1465.6153846153845
113,가창면,4,16,6,1070.0
114,가창면,4,17,0,1276.090909090909
115,가창면,4,17,1,1556.4285714285713
116,가창면,4,17,2,1712.1
117,가창면,4,17,3,518.3333333333334
118,가창면,4,17,4,1476.8461538461538
119,가창면,4,17,5,1989.5
120,가창면,4,17,6,876.3333333333334
121,가창면,5,18,0,1266.625
122,가창면,5,18,1,1384.2857142857142
123,가창면,5,18,2,1421.7272727272727
124,가창면,5,18,3,1076.888888888889
125,가창면,5,18,4,1321.0
126,가창면,5,18,5,832.8
127,가창면,5,18,6,833.4444444444445
128,가창면,5,19,0,2404.3333333333335
129,가창면,5,19,1,1363.5555555555557
130,가창면,5,19,2,1092.6666666666667
131,가창면,5,19,3,2149.0
132,가창면,5,19,4,1052.7142857142858
133,가창면,5,19,5,1594.875
134,가창면,5,19,6,640.0
135,가창면,5,20,0,1855.0
136,가창면,5,20,1,1293.5
137,가창면,5,20,2,2268.0
138,가창면,5,20,3,3009.0
139,가창면,5,20,4,821.5
140,가창면,5,20,5,1727.8461538461538
141,가창면,5,20,6,874.1666666666666
142,가창면,5,21,0,1830.6666666666667
143,가창면,5,21,1,1601.8333333333333
144,가창면,5,21,2,1058.909090909091
145,가창면,5,21,3,2892.0
146,가창면,5,21,4,1500.3333333333333
147,가창면,5,21,5,1229.7142857142858
148,가창면,5,21,6,1200.1
149,가창면,5,22,0,1748.142857142857
150,가창면,5,22,1,1533.142857142857
151,가창면,5,22,2,2230.0
152,가창면,6,22,3,1387.5
153,가창면,6,22,4,1178.5
154,가창면,6,22,5,1145.9
155,가창면,6,22,6,968.0
156,가창면,6,23,0,1412.4615384615386
157,가창면,6,23,1,1263.7
158,가창면,6,23,2,2151.875
159,가창면,6,23,3,2111.25
160,가창면,6,23,4,1598.2
161,가창면,6,23,5,1815.8823529411766
162,가창면,6,23,6,1172.5
163,가창면,6,24,0,1371.6666666666667
164,가창면,6,24,1,1089.5
165,가창면,6,24,2,1922.2857142857142
166,가창면,6,24,3,1852.3333333333333
167,가창면,6,24,4,1522.1333333333334
168,가창면,6,24,5,1172.9166666666667
169,가창면,6,24,6,1667.625
170,가창면,6,25,0,960.5
171,가창면,6,25,1,1747.25
172,가창면,6,25,2,1373.4285714285713
173,가창면,6,25,3,978.25
174,가창면,6,25,4,1245.25
175,가창면,6,25,5,1944.0
176,가창면,6,25,6,1348.6
177,가창면,6,26,0,906.8333333333334
178,가창면,6,26,1,1166.1818181818182
179,가창면,6,26,2,2627.1428571428573
180,가창면,6,26,3,290.6666666666667
181,가창면,6,26,4,1402.5333333333333
182,가창면,7,26,5,1031.5
183,가창면,7,26,6,1798.888888888889
184,가창면,7,27,0,884.625
185,가창면,7,27,1,1527.6666666666667
186,가창면,7,27,2,1452.5555555555557
187,가창면,7,27,3,1718.6
188,가창면,7,27,4,1372.75
189,가창면,7,27,5,962.4444444444445
190,가창면,7,27,6,1323.0555555555557
191,가창면,7,28,0,1105.1666666666667
192,가창면,7,28,1,2236.3333333333335
193,가창면,7,28,2,940.375
194,가창면,7,28,3,1567.6363636363637
195,가창면,7,28,4,1079.3333333333333
196,가창면,7,28,5,1248.111111111111
197,가창면,7,28,6,1050.8333333333333
198,가창면,7,29,0,848.4545454545455
199,가창면,7,29,1,1153.888888888889
200,가창면,7,29,2,1721.2
201,가창면,7,29,3,1264.111111111111
202,가창면,7,29,4,867.0833333333334
203,가창면,7,29,5,906.0769230769231
204,가창면,7,29,6,1274.9166666666667
205,가창면,7,30,0,1085.0
206,가창면,7,30,1,1225.0
207,가창면,7,30,2,1523.0
208,가창면,7,30,3,1537.2
209,가창면,7,30,4,1347.4285714285713
210,가창면,7,30,5,1735.6666666666667
211,가창면,7,30,6,1453.5555555555557
212,가창면,7,31,0,2298.3333333333335
213,가창면,8,31,1,1117.4
214,가창면,8,31,2,1177.2142857142858
215,가창면,8,31,3,1001.0
216,가창면,8,31,4,974.7692307692307
217,가창면,8,31,5,875.3333333333334
218,가창면,8,31,6,1397.909090909091
219,가창면,8,32,0,1125.0833333333333
220,가창면,8,32,1,1594.1666666666667
221,가창면,8,32,2,1297.3333333333333
222,가창면,8,32,3,1631.0
223,가창면,8,32,4,1364.5625
224,가창면,8,32,5,1392.1
225,가창면,8,32,6,1546.4545454545455
226,가창면,8,33,0,974.3
227,가창면,8,33,1,1155.0
228,가창면,8,33,2,1466.1666666666667
229,가창면,8,33,3,3457.0
230,가창면,8,33,4,1651.6
231,가창면,8,33,5,1424.6363636363637
232,가창면,8,33,6,2168.8333333333335
233,가창면,8,34,0,1147.7
234,가창면,8,34,1,1466.9166666666667
235,가창면,8,34,2,1399.6363636363637
236,가창면,8,34,3,1310.2
237,가창면,8,34,4,1255.142857142857
238,가창면,8,34,5,1376.0
239,가창면,8,34,6,1107.875
240,가창면,8,35,0,1742.1666666666667
241,가창면,8,35,1,1422.25
242,가창면,8,35,2,1072.3333333333333
243,가창면,8,35,3,1546.25
244,가창면,9,35,4,1047.0
245,가창면,9,35,5,1759.857142857143
246,가창면,9,35,6,1685.7142857142858
247,가창면,9,36,0,1935.1818181818182
248,가창면,9,36,1,1852.142857142857
249,가창면,9,36,2,1122.3333333333333
250,가창면,9,36,3,990.1428571428571
251,가창면,9,36,4,1584.6666666666667
252,가창면,9,36,5,1241.7142857142858
253,가창면,9,36,6,2540.6
