,출발지 행정동,월,주,요일,평균배차시간(초)
0,가창면,1,1,0,1992.0
1,가창면,1,1,1,1081.75
2,가창면,1,1,2,899.3333333333334
3,가창면,1,1,3,3278.3333333333335
4,가창면,1,1,4,1314.2857142857142
5,가창면,1,1,5,1906.125
6,가창면,1,1,6,1169.6666666666667
7,가창면,1,2,0,2855.8571428571427
8,가창면,1,2,1,1511.375
9,가창면,1,2,2,2127.3333333333335
10,가창면,1,2,3,1556.5
11,가창면,1,2,4,1104.3333333333333
12,가창면,1,2,5,1284.0
13,가창면,1,2,6,2103.75
14,가창면,1,3,0,1495.6666666666667
15,가창면,1,3,1,1733.25
16,가창면,1,3,2,389.75
17,가창면,1,3,3,914.0
18,가창면,1,3,4,1344.8
19,가창면,1,3,5,2280.25
20,가창면,1,3,6,1625.6666666666667
21,가창면,1,4,0,710.0
22,가창면,1,4,1,869.75
23,가창면,1,4,2,1751.0
24,가창면,1,4,3,2023.0
25,가창면,1,4,4,1558.6666666666667
26,가창면,1,4,5,1133.3333333333333
27,가창면,1,4,6,1668.5
28,가창면,1,5,0,2146.0
29,가창면,1,52,5,1638.0
30,가창면,1,52,6,4105.0
31,가창면,2,5,1,1033.5
32,가창면,2,5,2,2782.0
33,가창면,2,5,3,1293.0
34,가창면,2,5,4,1156.5
35,가창면,2,5,5,855.6666666666666
36,가창면,2,5,6,1394.0
37,가창면,2,6,0,533.75
38,가창면,2,6,1,770.6666666666666
39,가창면,2,6,2,1467.2
40,가창면,2,6,3,757.0
41,가창면,2,6,4,1560.375
42,가창면,2,6,5,524.2
43,가창면,2,6,6,1258.6666666666667
44,가창면,2,7,0,1259.25
45,가창면,2,7,1,1716.25
46,가창면,2,7,2,1183.5714285714287
47,가창면,2,7,3,1002.0
48,가창면,2,7,4,770.0
49,가창면,2,7,5,659.0
50,가창면,2,7,6,830.5
51,가창면,2,8,0,1087.6666666666667
52,가창면,2,8,1,788.8333333333334
53,가창면,2,8,2,1346.25
54,가창면,2,8,3,2153.0
55,가창면,2,8,4,1019.875
56,가창면,2,8,5,1972.0
57,가창면,2,8,6,1233.5
58,가창면,2,9,0,1807.375
59,가창면,3,9,1,707.0
60,가창면,3,9,2,1404.75
61,가창면,3,9,3,1698.6
62,가창면,3,9,4,1677.7272727272727
63,가창면,3,9,5,1020.25
64,가창면,3,9,6,1135.0
65,가창면,3,10,0,1008.2857142857143
66,가창면,3,10,1,725.0
67,가창면,3,10,2,2282.2
68,가창면,3,10,3,2193.25
69,가창면,3,10,4,603.5
70,가창면,3,10,5,1108.125
71,가창면,3,10,6,1267.75
72,가창면,3,11,0,890.7
73,가창면,3,11,1,690.25
74,가창면,3,11,2,1623.7142857142858
75,가창면,3,11,3,1147.75
76,가창면,3,11,4,873.875
77,가창면,3,11,5,1373.5
78,가창면,3,11,6,1346.3333333333333
79,가창면,3,12,0,1060.5
80,가창면,3,12,1,1407.5
81,가창면,3,12,2,953.0
82,가창면,3,12,3,1299.8
83,가창면,3,12,4,1693.142857142857
84,가창면,3,12,5,1694.2857142857142
85,가창면,3,12,6,2215.3333333333335
86,가창면,3,13,0,866.25
87,가창면,3,13,1,1445.0
88,가창면,3,13,2,657.75
89,가창면,3,13,3,1491.2
90,가창면,4,13,4,1443.3636363636363
91,가창면,4,13,5,1235.5555555555557
92,가창면,4,13,6,1664.75
93,가창면,4,14,0,1729.2
94,가창면,4,14,1,1282.5714285714287
95,가창면,4,14,2,652.7272727272727
96,가창면,4,14,3,1295.25
97,가창면,4,14,4,1326.75
98,가창면,4,14,5,1714.9
99,가창면,4,14,6,1850.5
100,가창면,4,15,0,541.0909090909091
101,가창면,4,15,1,1636.0
102,가창면,4,15,2,980.6666666666666
103,가창면,4,15,3,994.5
104,가창면,4,15,4,3060.5714285714284
105,가창면,4,15,5,1890.8
106,가창면,4,15,6,1133.5
107,가창면,4,16,0,1698.4
108,가창면,4,16,1,1653.909090909091
109,가창면,4,16,2,1119.5454545454545
110,가창면,4,16,3,2557.5
111,가창면,4,16,4,1899.375
112,가창면,4,16,5,1674.7692307692307
113,가창면,4,16,6,2826.8333333333335
114,가창면,4,17,0,1712.0
115,가창면,4,17,1,1678.5
116,가창면,4,17,2,1397.2
117,가창면,4,17,3,2085.8571428571427
118,가창면,4,17,4,1137.0
119,가창면,4,17,5,1812.75
120,가창면,5,17,6,1557.0
121,가창면,5,18,0,1396.0
122,가창면,5,18,1,1240.6666666666667
123,가창면,5,18,2,2460.8888888888887
124,가창면,5,18,3,1811.0
125,가창면,5,18,4,2223.0
126,가창면,5,18,5,1611.875
127,가창면,5,18,6,2161.222222222222
128,가창면,5,19,0,1582.0
129,가창면,5,19,1,1918.4285714285713
130,가창면,5,19,2,2629.875
131,가창면,5,19,3,2685.3333333333335
132,가창면,5,19,4,1522.0
133,가창면,5,19,5,1747.5454545454545
134,가창면,5,19,6,733.3
135,가창면,5,20,0,1257.25
136,가창면,5,20,1,2252.5714285714284
137,가창면,5,20,2,2718.8333333333335
138,가창면,5,20,3,1253.0
139,가창면,5,20,4,1784.8
140,가창면,5,20,5,1356.7142857142858
141,가창면,5,20,6,3147.0
142,가창면,5,21,0,1166.0
143,가창면,5,21,1,1462.5714285714287
144,가창면,5,21,2,1967.9
145,가창면,5,21,3,2006.5
146,가창면,5,21,4,1994.142857142857
147,가창면,5,21,5,1867.2
148,가창면,5,21,6,3174.5
149,가창면,5,22,0,1324.0
150,가창면,5,22,1,1272.6666666666667
151,가창면,6,22,2,1224.25
152,가창면,6,22,3,3420.0
153,가창면,6,22,4,2178.9285714285716
154,가창면,6,22,5,1238.25
155,가창면,6,22,6,4284.5
156,가창면,6,23,0,4065.5
157,가창면,6,23,1,1710.5
158,가창면,6,23,2,1485.75
159,가창면,6,23,3,2672.6666666666665
160,가창면,6,23,4,1543.9166666666667
161,가창면,6,23,5,1732.75
162,가창면,6,23,6,941.8333333333334
163,가창면,6,24,0,1905.8
164,가창면,6,24,1,2024.9166666666667
165,가창면,6,24,2,1940.625
166,가창면,6,24,3,2173.6666666666665
167,가창면,6,24,4,1377.1666666666667
168,가창면,6,24,5,1258.4285714285713
169,가창면,6,24,6,1747.3333333333333
170,가창면,6,25,0,1727.2857142857142
171,가창면,6,25,1,1348.7272727272727
172,가창면,6,25,2,1387.2857142857142
173,가창면,6,25,3,2343.6666666666665
174,가창면,6,25,4,1289.4444444444443
175,가창면,6,25,5,1559.5454545454545
176,가창면,6,25,6,2060.0
177,가창면,6,26,0,2975.5
178,가창면,6,26,1,1558.111111111111
179,가창면,6,26,2,3518.0
180,가창면,6,26,3,2533.0
181,가창면,7,26,4,1135.7142857142858
182,가창면,7,26,5,1276.0
